location_name,latitude,longitude,postcode,location_type,Operator
Cheltenham Spa,51.897399,-2.099625825,GL51 8NP,mainline_station,Great Western
Chepstow,51.64017494,-2.671914115,NP16 5PD,mainline_station,Arriva Trains Wales
Cherry Tree,53.7328804,-2.518385495,BB2 2TZ,mainline_station,Northern
Chertsey,51.38716506,-0.509665587,KT16 9BG,mainline_station,South West Trains
Cheshunt,51.70287691,-0.023951585,EN8 9AQ,mainline_station,Greater Anglia
Chessington North,51.36426238,-0.300405044,KT9 2RT,mainline_station,South West Trains
Chessington South,51.35655091,-0.308159205,KT9 2JR,mainline_station,South West Trains
Chester,53.19683958,-2.880125588,CH1 3NS,mainline_station,Arriva Trains Wales
Chester Road,52.53565641,-1.832473808,B73 5JS,mainline_station,West Midlands Trains
Chesterfield,53.23824054,-1.420109085,S41 7UB,mainline_station,East Midlands Trains
Chester-le-Street,54.85459856,-1.578018751,DH3 3EE,mainline_station,Northern
Chestfield & Swalecliffe,51.36032694,1.067706206,CT5 3JB,mainline_station,Southeastern
Chetnole,50.86648406,-2.574046181,DT9 6EP,mainline_station,Great Western
Chichester,50.83204016,-0.781752603,PO19 8DL,mainline_station,GTR
Chilham,51.24461449,0.97591547,CT4 8EG,mainline_station,Southeastern
Chilworth,51.21521009,-0.524818359,GU4 6TT,mainline_station,Great Western
Chingford,51.63309432,0.009906086,E4 6AL,mainline_station,London Overground
Chinley,53.34030561,-1.944399045,SK23 6AR,mainline_station,Northern
Chippenham,51.46248638,-2.115402682,SN15 3QE,mainline_station,Great Western
Chipstead,51.30932005,-0.169427771,CR3 3TD,mainline_station,GTR
Chirk,52.93310252,-3.065655601,LL14 5LU,mainline_station,Arriva Trains Wales
Chislehurst,51.40555763,0.057426909,BR7 5NN,mainline_station,Southeastern
Chiswick,51.48114063,-0.267834947,W4 3HB,mainline_station,South West Trains
Cholsey,51.57020166,-1.158018612,OX10 9QD,mainline_station,Great Western
Chorley,53.65255337,-2.626775381,PR7 1BS,mainline_station,Northern
Chorleywood,51.65424895,-0.518311668,WD3 5ND,mainline_station,London Underground
Christchurch,50.73820038,-1.784549578,BH23 1PL,mainline_station,South West Trains
Christs Hospital,51.0506779,-0.363547086,RH13 0NE,mainline_station,GTR
Church & Oswaldtwistle,53.75035199,-2.390909816,BB5 0DP,mainline_station,Northern
Church Fenton,53.82633993,-1.227441339,LS24 9RA,mainline_station,Northern
Church Stretton,52.53743385,-2.803701777,SY6 6PG,mainline_station,Arriva Trains Wales
Cilmeri,52.15053253,-3.456554526,LD2 3NU,mainline_station,Arriva Trains Wales
City Thameslink,51.51394,-0.10358,EC4M 7JH,mainline_station,GTR
Clacton-on-Sea,51.79401273,1.154105287,CO15 6PU,mainline_station,Greater Anglia
Clandon,51.26400351,-0.502759414,GU4 7TE,mainline_station,South West Trains
